               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  14,            0.081286,            0.017397,                   0,            0.092637,             0.26316,            0.056032,            0.017608,            0.071983,            0.011974,                   0,             0.00714,             0.00714,             0.00714
                  15,            0.079978,            0.017865,                   0,            0.049105,             0.17895,            0.027748,           0.0074932,            0.071705,            0.012196,                   0,             0.00692,             0.00692,             0.00692
                  16,            0.075494,            0.017499,                   0,             0.10905,             0.23158,            0.063246,            0.020946,            0.074315,            0.010464,                   0,              0.0067,              0.0067,              0.0067
                  17,            0.073899,            0.016478,                   0,            0.030098,             0.27368,            0.020277,           0.0066683,             0.07481,            0.011817,                   0,             0.00648,             0.00648,             0.00648
                  18,              0.0724,            0.017611,                   0,             0.34376,             0.25366,             0.24463,            0.064438,            0.068361,           0.0097981,                   0,             0.00626,             0.00626,             0.00626
                  19,            0.070689,            0.016878,                   0,              0.3511,             0.29474,             0.26051,            0.077896,            0.065772,              0.0103,                   0,             0.00604,             0.00604,             0.00604
                  20,            0.070148,            0.017419,                   0,             0.34155,             0.36842,              0.2826,            0.082194,            0.062309,           0.0098626,                   0,             0.00582,             0.00582,             0.00582
                  21,            0.068286,             0.01585,                   0,             0.30815,             0.38947,             0.32084,             0.10257,            0.061748,           0.0095472,                   0,              0.0056,              0.0056,              0.0056
                  22,            0.066993,            0.015825,                   0,             0.37122,             0.35789,             0.35571,             0.12144,            0.062061,           0.0095268,                   0,             0.00538,             0.00538,             0.00538
                  23,            0.066918,            0.015947,                   0,              0.3259,             0.36842,             0.28649,            0.085248,            0.061699,           0.0099029,                   0,             0.00516,             0.00516,             0.00516
                  24,            0.064362,            0.016772,                   0,             0.38819,             0.42105,             0.29968,             0.11134,            0.058566,           0.0094135,                   0,             0.00494,             0.00494,             0.00494
                  25,            0.065335,             0.01459,                   0,             0.46647,             0.51539,             0.44759,             0.17111,            0.056313,           0.0092115,                   0,             0.00472,             0.00472,             0.00472
                  26,            0.061791,            0.015206,                   0,             0.55017,             0.48421,             0.50142,             0.20458,            0.055653,           0.0090229,                   0,              0.0045,              0.0045,              0.0045
                  27,            0.061359,            0.015159,                   0,             0.48441,             0.44211,             0.46874,             0.18473,            0.055655,           0.0089547,                   0,             0.00428,             0.00428,             0.00428
                  28,            0.058246,            0.015495,                   0,             0.43763,             0.43158,             0.39154,              0.1301,            0.058038,           0.0088563,                   0,             0.00406,             0.00406,             0.00406
                  29,            0.055281,            0.013443,                   0,              0.5289,             0.50526,             0.52766,             0.22747,            0.054013,           0.0088392,                   0,             0.00384,             0.00384,             0.00384
                  30,             0.05636,             0.01501,                   0,             0.60697,             0.49474,             0.50746,             0.22607,            0.054475,           0.0087623,                   0,             0.00362,             0.00362,             0.00362
                  31,            0.056937,            0.015552,                   0,             0.61479,              0.5376,             0.54044,             0.22332,            0.052145,           0.0085979,                   0,              0.0034,              0.0034,              0.0034
                  32,            0.056447,            0.014342,                   0,             0.60466,             0.51579,             0.51626,             0.20701,            0.052952,           0.0082353,                   0,             0.00318,             0.00318,             0.00318
                  33,            0.055059,            0.014679,                   0,             0.62891,             0.53684,             0.54128,             0.20796,             0.05422,           0.0088435,                   0,             0.00296,             0.00296,             0.00296
                  34,            0.052581,            0.014376,                   0,             0.61829,             0.57895,             0.58115,              0.2659,            0.050401,            0.008584,                   0,             0.00274,             0.00274,             0.00274
                  35,            0.054756,            0.013771,                   0,             0.63889,             0.54011,             0.54526,             0.25386,            0.049766,           0.0082224,                   0,             0.00252,             0.00252,             0.00252
                  36,            0.051374,            0.013337,                   0,             0.57149,                 0.6,             0.54952,             0.26619,            0.050155,           0.0080816,                   0,              0.0023,              0.0023,              0.0023
                  37,            0.053293,            0.013919,                   0,             0.66823,             0.57895,             0.61794,             0.25637,            0.052879,           0.0080295,                   0,             0.00208,             0.00208,             0.00208
                  38,             0.05215,            0.014309,                   0,              0.7717,             0.64211,             0.69631,             0.34115,            0.046175,           0.0080016,                   0,             0.00186,             0.00186,             0.00186
                  39,            0.050404,            0.015805,                   0,             0.71337,             0.63158,              0.6394,             0.27156,            0.051555,           0.0077448,                   0,             0.00164,             0.00164,             0.00164
                  40,            0.048618,            0.014365,                   0,              0.7218,             0.63158,             0.64096,             0.29528,            0.049107,           0.0080757,                   0,             0.00142,             0.00142,             0.00142
                  41,            0.052025,             0.01381,                   0,              0.7371,             0.66316,             0.65548,             0.29903,            0.048063,           0.0077163,                   0,              0.0012,              0.0012,              0.0012
                  42,            0.047574,            0.013373,                   0,             0.73897,             0.67368,             0.64057,             0.32271,            0.046379,           0.0080118,                   0,             0.00098,             0.00098,             0.00098
                  43,            0.047811,            0.013167,                   0,             0.73495,             0.63158,             0.61996,             0.30868,            0.047366,           0.0079688,                   0,             0.00076,             0.00076,             0.00076
                  44,             0.04754,            0.013549,                   0,             0.77093,             0.64211,             0.67289,             0.33151,            0.046938,           0.0078947,                   0,             0.00054,             0.00054,             0.00054
