               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11559,            0.016396,                   0,          0.00038314,             0.10526,          0.00023737,          6.7382e-05,             0.10913,           0.0097428,                   0,              0.0793,              0.0023,              0.0023
                   1,             0.11531,            0.016089,                   0,          0.00045977,             0.12632,          0.00031741,          8.4465e-05,             0.10859,            0.009695,                   0,            0.057597,           0.0045966,           0.0045966
                   2,             0.10936,            0.015888,                   0,          0.00038314,             0.10526,          0.00025024,           7.142e-05,             0.10812,           0.0096531,                   0,            0.035788,           0.0067876,           0.0067876
                   3,             0.10884,            0.016466,                   0,          0.00042146,             0.11579,          0.00027582,          6.6128e-05,             0.10751,           0.0098293,                   0,            0.013873,            0.008873,            0.008873
                   4,             0.10898,            0.016548,                   0,          0.00072946,             0.16842,          0.00051103,          0.00011036,             0.10851,            0.060796,                   0,             0.00912,             0.00912,             0.00912
                   5,             0.10402,            0.015959,                   0,           0.0087526,            0.021053,          0.00057719,          0.00013749,                 nan,                 nan,                   0,             0.00912,             0.00912,             0.00912
                   6,             0.10576,            0.015404,                   0,            0.010526,            0.010526,          0.00084012,          8.4012e-05,                 nan,                 nan,                   0,              0.0089,              0.0089,              0.0089
                   7,             0.10042,            0.016765,                   0,          0.00017158,            0.042105,          9.2605e-05,          2.0966e-05,                 nan,                 nan,                   0,             0.00868,             0.00868,             0.00868
                   8,            0.098148,            0.017446,                   0,           0.0014165,            0.010526,          0.00092886,          0.00026484,             0.10766,             0.16853,                   0,             0.00846,             0.00846,             0.00846
                   9,            0.089785,            0.016659,                   0,           0.0011904,             0.32632,            0.001623,          0.00035871,            0.095944,            0.028252,                   0,             0.00824,             0.00824,             0.00824
                  10,            0.088666,            0.017315,                   0,           0.0081144,             0.24211,           0.0053027,           0.0013294,            0.089542,            0.012217,                   0,             0.00802,             0.00802,             0.00802
                  11,            0.087396,            0.017116,                   0,           0.0016505,             0.45263,           0.0057328,           0.0015477,            0.085498,            0.011348,                   0,              0.0078,              0.0078,              0.0078
                  12,            0.085899,            0.018035,                   0,            0.052983,             0.17895,            0.033226,           0.0077786,            0.080164,             0.01201,                   0,             0.00758,             0.00758,             0.00758
                  13,            0.083961,            0.017281,                   0,             0.12456,             0.10526,            0.036269,           0.0082057,            0.077388,            0.011632,                   0,             0.00736,             0.00736,             0.00736
